ano,mes,regiao,descricao_sexo,faixa_etaria,descricao_pergunta,descricao_resposta,qtd_registros
2020,9,Sudeste,Mulher,21-30,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,181
2020,9,Sudeste,Homem,41-50,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,163
2020,9,Sudeste,Mulher,11-20,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,41
2020,9,Sul,Homem,51-60,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,23
2020,9,Centro-Oeste,Homem,21-30,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,33
2020,9,Centro-Oeste,Mulher,61-70,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,38
2020,9,Centro-Oeste,Mulher,31-40,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,2
2020,9,Centro-Oeste,Mulher,31-40,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,9
2020,9,Sudeste,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,Outro motivo,31
2020,9,Sudeste,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",55
2020,9,Sudeste,Homem,41-50,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",7
2020,9,Sudeste,Homem,61-70,Qual o principal motivo deste afastamento temporário?,Outro motivo,13
2020,9,Sudeste,Homem,31-40,Qual o principal motivo deste afastamento temporário?,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.)",1
2020,9,Sul,Homem,61-70,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,17
2020,9,Sul,Mulher,61-70,Qual o principal motivo deste afastamento temporário?,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.)",1
2020,9,Sul,Mulher,51-60,Qual o principal motivo deste afastamento temporário?,Outro motivo,17
2020,9,Sul,Mulher,61-70,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",2
2020,9,Centro-Oeste,Mulher,21-30,Qual o principal motivo deste afastamento temporário?,Licença maternidade ou paternidade,36
2020,9,Centro-Oeste,Homem,51-60,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,23
2020,9,Centro-Oeste,Mulher,51-60,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",4
2020,9,Centro-Oeste,Homem,51-60,Qual o principal motivo deste afastamento temporário?,Licença maternidade ou paternidade,1
2020,9,Centro-Oeste,Mulher,51-60,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",2
2020,9,Sudeste,Homem,41-50,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,5914
2020,9,Sudeste,Homem,21-30,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,2340
2020,9,Sul,Homem,31-40,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,4170
2020,9,Sul,Homem,61-70,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",26
2020,9,Sul,Mulher,61-70,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",22
2020,9,Sul,Mulher,71+,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",14
2020,9,Sudeste,Mulher,71+,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,36
2020,9,Sudeste,Homem,21-30,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,132
2020,9,Sudeste,Homem,61-70,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,24
2020,9,Sudeste,Homem,21-30,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,19
2020,9,Sudeste,Mulher,31-40,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,5
2020,9,Sudeste,Homem,41-50,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,3
2020,9,Sudeste,Mulher,11-20,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,5
2020,9,Sul,Homem,31-40,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,49
2020,9,Sul,Mulher,21-30,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,92
2020,9,Sul,Homem,41-50,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,24
2020,9,Sul,Homem,51-60,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,3
2020,9,Sul,Mulher,51-60,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,21
2020,9,Sul,Mulher,71+,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,3
2020,9,Centro-Oeste,Mulher,51-60,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,74
2020,9,Centro-Oeste,Homem,61-70,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,27
2020,9,Sudeste,Mulher,61-70,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",268
2020,9,Sudeste,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,Outro motivo,41
2020,9,Sudeste,Mulher,71+,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",1
2020,9,Sudeste,Mulher,51-60,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,72
2020,9,Sudeste,Homem,71+,Qual o principal motivo deste afastamento temporário?,Outro motivo,4
2020,9,Sul,Homem,31-40,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",25
2020,9,Sul,Mulher,61-70,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",81
2020,9,Sul,Homem,41-50,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",106
2020,9,Sul,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",25
2020,9,Sul,Homem,41-50,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,49
2020,9,Sul,Mulher,11-20,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",1
2020,9,Sul,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.)",2
2020,9,Centro-Oeste,Homem,61-70,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",12
2020,9,Centro-Oeste,Homem,31-40,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",26
2020,9,Centro-Oeste,Homem,51-60,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",17
2020,9,Centro-Oeste,Homem,41-50,Qual o principal motivo deste afastamento temporário?,Outro motivo,4
2020,9,Centro-Oeste,Homem,31-40,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,18
2020,9,Centro-Oeste,Mulher,21-30,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,11
