ano,mes,regiao,uf,nome_uf,descricao_sexo,faixa_etaria,tipo_sintoma,descricao_pergunta,qtd_registros
2020,9,Sul,43,Rio Grande do Sul,Homem,21-30,Respiratório leve,Na semana passada teve tosse?,25
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Mulher,11-20,Respiratório leve,Na semana passada teve tosse?,5
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,51-60,Respiratório leve,Na semana passada teve tosse?,15
2020,9,Centro-Oeste,51,Mato Grosso,Homem,0-10,Respiratório leve,Na semana passada teve tosse?,13
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,71+,Respiratório leve,Na semana passada teve tosse?,3
2020,9,Sudeste,33,Rio de Janeiro,Homem,41-50,Respiratório leve,Na semana passada teve dor de garganta?,20
2020,9,Sudeste,33,Rio de Janeiro,Mulher,51-60,Respiratório leve,Na semana passada teve dor de garganta?,19
2020,9,Sudeste,35,São Paulo,Homem,11-20,Respiratório leve,Na semana passada teve dor de garganta?,14
2020,9,Sudeste,35,São Paulo,Homem,61-70,Respiratório leve,Na semana passada teve dor de garganta?,19
2020,9,Sul,41,Paraná,Mulher,11-20,Respiratório grave,Na semana passada teve dificuldade para respirar?,3
2020,9,Sul,42,Santa Catarina,Mulher,31-40,Respiratório leve,Na semana passada teve dor de garganta?,25
2020,9,Sul,42,Santa Catarina,Homem,71+,Respiratório grave,Na semana passada teve dificuldade para respirar?,4
2020,9,Sul,43,Rio Grande do Sul,Mulher,11-20,Respiratório leve,Na semana passada teve dor de garganta?,15
2020,9,Sul,43,Rio Grande do Sul,Homem,41-50,Respiratório grave,Na semana passada teve dificuldade para respirar?,10
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,71+,Respiratório leve,Na semana passada teve dor de garganta?,3
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,71+,Respiratório grave,Na semana passada teve dificuldade para respirar?,2
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,31-40,Respiratório leve,Na semana passada teve dor de garganta?,5
2020,9,Centro-Oeste,51,Mato Grosso,Homem,21-30,Respiratório leve,Na semana passada teve dor de garganta?,15
2020,9,Centro-Oeste,51,Mato Grosso,Homem,0-10,Respiratório grave,Na semana passada teve dificuldade para respirar?,4
2020,9,Centro-Oeste,51,Mato Grosso,Homem,31-40,Respiratório leve,Na semana passada teve dor de garganta?,12
2020,9,Centro-Oeste,52,Goiás,Homem,71+,Respiratório leve,Na semana passada teve dor de garganta?,2
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,61-70,Respiratório leve,Na semana passada teve dor de garganta?,1
2020,9,Sudeste,33,Rio de Janeiro,Homem,51-60,Sintoma geral,Na semana passada teve febre?,6
2020,9,Sul,41,Paraná,Mulher,41-50,Sintoma geral,Na semana passada teve febre?,15
2020,9,Sul,41,Paraná,Mulher,71+,Sintoma geral,Na semana passada teve febre?,6
2020,9,Sul,42,Santa Catarina,Homem,11-20,Sintoma geral,Na semana passada teve febre?,6
2020,9,Sul,43,Rio Grande do Sul,Mulher,41-50,Sintoma geral,Na semana passada teve febre?,13
2020,9,Sul,43,Rio Grande do Sul,Homem,61-70,Sintoma geral,Na semana passada teve febre?,9
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,61-70,Sintoma geral,Na semana passada teve febre?,9
2020,9,Centro-Oeste,52,Goiás,Homem,71+,Sintoma geral,Na semana passada teve febre?,6
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,21-30,Sintoma geral,Na semana passada teve febre?,14
2020,9,Sudeste,33,Rio de Janeiro,Mulher,11-20,Respiratório grave,Na semana passada teve dor no peito?,1
2020,9,Sul,43,Rio Grande do Sul,Mulher,51-60,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",927
2020,9,Sul,43,Rio Grande do Sul,Mulher,31-40,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",1034
2020,9,Sul,43,Rio Grande do Sul,Homem,61-70,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",457
2020,9,Centro-Oeste,52,Goiás,Mulher,41-50,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",624
2020,9,Centro-Oeste,52,Goiás,Mulher,11-20,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",104
2020,9,Sul,42,Santa Catarina,Homem,0-10,,"Por causa disso, foi a algum estabelecimento de saúde?",12
2020,9,Sul,43,Rio Grande do Sul,Mulher,71+,,"Ao procurar o hospital, teve que ficar internado por um dia ou mais",8
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,61-70,,"Por causa disso, foi a algum estabelecimento de saúde?",9
2020,9,Centro-Oeste,52,Goiás,Homem,21-30,,"Por causa disso, foi a algum estabelecimento de saúde?",13
2020,9,Centro-Oeste,52,Goiás,Homem,61-70,,"Por causa disso, foi a algum estabelecimento de saúde?",17
2020,9,Centro-Oeste,52,Goiás,Homem,61-70,,"Ao procurar o hospital, teve que ficar internado por um dia ou mais",1
2020,9,Sudeste,33,Rio de Janeiro,Homem,31-40,,"Na semana passada, estava temporariamente afastado de algum trabalho?",135
2020,9,Sul,41,Paraná,Mulher,31-40,,"Na semana passada, estava temporariamente afastado de algum trabalho?",84
2020,9,Sul,41,Paraná,Homem,11-20,,"Na semana passada, estava temporariamente afastado de algum trabalho?",21
2020,9,Sul,41,Paraná,Mulher,11-20,,"Na semana passada, estava temporariamente afastado de algum trabalho?",15
2020,9,Sul,42,Santa Catarina,Homem,31-40,,"Na semana passada, estava temporariamente afastado de algum trabalho?",47
2020,9,Sul,42,Santa Catarina,Mulher,21-30,,"Na semana passada, estava temporariamente afastado de algum trabalho?",80
2020,9,Sul,42,Santa Catarina,Mulher,11-20,,"Na semana passada, estava temporariamente afastado de algum trabalho?",20
2020,9,Sul,43,Rio Grande do Sul,Mulher,51-60,,"Na semana passada, estava temporariamente afastado de algum trabalho?",123
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,41-50,,"Na semana passada, estava temporariamente afastado de algum trabalho?",26
2020,9,Centro-Oeste,52,Goiás,Homem,51-60,,"Na semana passada, estava temporariamente afastado de algum trabalho?",78
2020,9,Centro-Oeste,52,Goiás,Homem,71+,,"Na semana passada, estava temporariamente afastado de algum trabalho?",9
2020,9,Centro-Oeste,53,Distrito Federal,Homem,51-60,,"Na semana passada, estava temporariamente afastado de algum trabalho?",31
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,21-30,,"Na semana passada, estava temporariamente afastado de algum trabalho?",34
2020,9,Sudeste,35,São Paulo,Homem,71+,,Tem mais de um trabalho,7
2020,9,Sul,41,Paraná,Mulher,41-50,,Tem mais de um trabalho,82
2020,9,Sul,42,Santa Catarina,Homem,21-30,,Tem mais de um trabalho,59
2020,9,Sul,42,Santa Catarina,Mulher,11-20,,Tem mais de um trabalho,11
2020,9,Sul,43,Rio Grande do Sul,Homem,61-70,,Tem mais de um trabalho,17
2020,9,Sul,43,Rio Grande do Sul,Mulher,71+,,Tem mais de um trabalho,1
2020,9,Centro-Oeste,52,Goiás,Mulher,41-50,,Tem mais de um trabalho,48
2020,9,Sudeste,33,Rio de Janeiro,Mulher,31-40,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,3
2020,9,Sudeste,35,São Paulo,Homem,0-10,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,2
2020,9,Sul,41,Paraná,Mulher,41-50,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,4
2020,9,Sul,42,Santa Catarina,Mulher,51-60,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,3
2020,9,Sul,43,Rio Grande do Sul,Homem,41-50,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Sul,43,Rio Grande do Sul,Mulher,31-40,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Sul,43,Rio Grande do Sul,Mulher,41-50,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,2
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Mulher,31-40,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Centro-Oeste,52,Goiás,Homem,41-50,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,3
2020,9,Centro-Oeste,52,Goiás,Homem,51-60,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,31-40,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,4
2020,9,Sul,43,Rio Grande do Sul,Mulher,61-70,Respiratório leve,Na semana passada teve tosse?,22
2020,9,Sul,43,Rio Grande do Sul,Homem,11-20,Respiratório leve,Na semana passada teve tosse?,19
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,0-10,Respiratório leve,Na semana passada teve tosse?,10
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Mulher,0-10,Respiratório leve,Na semana passada teve tosse?,9
2020,9,Centro-Oeste,52,Goiás,Mulher,21-30,Respiratório leve,Na semana passada teve tosse?,18
2020,9,Centro-Oeste,52,Goiás,Mulher,11-20,Respiratório leve,Na semana passada teve tosse?,9
2020,9,Centro-Oeste,53,Distrito Federal,Homem,21-30,Respiratório leve,Na semana passada teve tosse?,8
2020,9,Sudeste,33,Rio de Janeiro,Homem,61-70,Respiratório grave,Na semana passada teve dificuldade para respirar?,4
2020,9,Sudeste,33,Rio de Janeiro,Homem,11-20,Respiratório grave,Na semana passada teve dificuldade para respirar?,3
2020,9,Sudeste,33,Rio de Janeiro,Homem,21-30,Respiratório grave,Na semana passada teve dificuldade para respirar?,5
2020,9,Sudeste,35,São Paulo,Mulher,71+,Respiratório leve,Na semana passada teve dor de garganta?,15
2020,9,Sudeste,35,São Paulo,Homem,31-40,Respiratório grave,Na semana passada teve dificuldade para respirar?,10
2020,9,Sul,41,Paraná,Mulher,61-70,Respiratório leve,Na semana passada teve dor de garganta?,12
2020,9,Sul,41,Paraná,Homem,11-20,Respiratório grave,Na semana passada teve dificuldade para respirar?,3
2020,9,Sul,41,Paraná,Mulher,71+,Respiratório leve,Na semana passada teve dor de garganta?,4
2020,9,Sul,42,Santa Catarina,Homem,51-60,Respiratório grave,Na semana passada teve dificuldade para respirar?,4
2020,9,Sul,42,Santa Catarina,Homem,51-60,Respiratório leve,Na semana passada teve dor de garganta?,6
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,31-40,Respiratório leve,Na semana passada teve dor de garganta?,23
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,61-70,Respiratório grave,Na semana passada teve dificuldade para respirar?,6
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,61-70,Respiratório grave,Na semana passada teve dificuldade para respirar?,2
2020,9,Sudeste,35,São Paulo,Homem,61-70,Sintoma geral,Na semana passada teve febre?,9
2020,9,Sul,41,Paraná,Mulher,51-60,Sintoma geral,Na semana passada teve febre?,10
2020,9,Sul,41,Paraná,Mulher,21-30,Sintoma geral,Na semana passada teve febre?,7
2020,9,Sul,41,Paraná,Mulher,0-10,Sintoma geral,Na semana passada teve febre?,10
2020,9,Sul,41,Paraná,Mulher,11-20,Sintoma geral,Na semana passada teve febre?,4
2020,9,Sul,43,Rio Grande do Sul,Mulher,51-60,Sintoma geral,Na semana passada teve febre?,14
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Mulher,21-30,Sintoma geral,Na semana passada teve febre?,8
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,11-20,Sintoma geral,Na semana passada teve febre?,7
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,0-10,Sintoma geral,Na semana passada teve febre?,12
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,31-40,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",557
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,51-60,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",285
2020,9,Centro-Oeste,52,Goiás,Homem,31-40,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",791
2020,9,Centro-Oeste,52,Goiás,Mulher,61-70,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",89
2020,9,Centro-Oeste,52,Goiás,Mulher,21-30,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",448
2020,9,Sudeste,33,Rio de Janeiro,Mulher,41-50,,"Por causa disso, foi a algum estabelecimento de saúde?",19
2020,9,Sudeste,33,Rio de Janeiro,Homem,31-40,,"Por causa disso, foi a algum estabelecimento de saúde?",11
2020,9,Sudeste,33,Rio de Janeiro,Homem,11-20,,"Por causa disso, foi a algum estabelecimento de saúde?",5
2020,9,Sul,41,Paraná,Mulher,51-60,,"Por causa disso, foi a algum estabelecimento de saúde?",28
2020,9,Sul,42,Santa Catarina,Mulher,21-30,,"Por causa disso, foi a algum estabelecimento de saúde?",20
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,11-20,,"Por causa disso, foi a algum estabelecimento de saúde?",7
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,11-20,,"Por causa disso, foi a algum estabelecimento de saúde?",12
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,51-60,,"Ao procurar o hospital, teve que ficar internado por um dia ou mais",1
2020,9,Centro-Oeste,52,Goiás,Mulher,21-30,,"Por causa disso, foi a algum estabelecimento de saúde?",26
2020,9,Centro-Oeste,53,Distrito Federal,Homem,11-20,,"Por causa disso, foi a algum estabelecimento de saúde?",3
2020,9,Sudeste,33,Rio de Janeiro,Mulher,31-40,,"Na semana passada, estava temporariamente afastado de algum trabalho?",221
